permno,date,ret,prc,ticker,cumulative_return
49154,2020-03-31,-0.097379,92.97,TGT,-0.27021583800446136
49154,2020-04-30,0.180381,109.74,TGT,-0.13857664107954404
49154,2020-05-29,0.12074,122.33,TGT,-0.03456838472348811
49154,2020-06-30,-0.019619,119.93,TGT,-0.05350918758359802
49154,2020-07-31,0.049612,125.88,TGT,-0.0065518853979954494
49154,2020-08-31,0.206625,151.21001,TGT,0.19871933128164376
49154,2020-09-30,0.041069,157.42,TGT,0.24794953549804966
49154,2020-10-30,-0.033033,152.22,TGT,0.2067260184919426
49154,2020-11-30,0.183879,179.53,TGT,0.4286175920462225
49154,2020-12-31,-0.01671,176.53,TGT,0.4047453920831301
49154,2021-01-29,0.026285,181.17,TGT,0.44166912471403497
49154,2021-02-26,0.016283,183.44,TGT,0.4651438230717537
49154,2021-03-31,0.079754,198.07001,TGT,0.5819949035370184
49154,2021-04-30,0.046398,207.25999,TGT,0.655396303071329
49154,2021-05-28,0.098138,226.92,TGT,0.8178535854621432
49154,2021-06-30,0.065309,241.74001,TGT,0.9365757852750904
49154,2021-07-30,0.079879,261.04999,TGT,1.0912675224270796
49154,2021-08-31,-0.05045,246.98,TGT,0.9857630759206335
49154,2021-09-30,-0.073731,228.77,TGT,0.8393507785699292
49154,2021-10-29,0.134852,259.62,TGT,1.0873909097616412
49154,2021-11-30,-0.057315,243.84,TGT,0.9677520997686528
49154,2021-12-31,-0.050853,231.44,TGT,0.8676860022391175
49154,2022-01-31,-0.047572,220.42999,TGT,0.7788364437405983
49154,2022-02-28,-0.089643,199.77,TGT,0.6193762084143599
49154,2022-03-31,0.062322,212.22,TGT,0.7202989724751596
49154,2022-04-29,0.07742,228.64999,TGT,0.8534845189241866
49154,2022-05-31,-0.288082,161.88,TGT,0.31952899174346916
49154,2022-06-30,-0.127564,141.23,TGT,0.1512045954407053
49154,2022-07-29,0.156836,163.38,TGT,0.3317549193712437
49154,2022-08-31,-0.011997,160.34,TGT,0.3157778556035469
49154,2022-09-30,-0.074529,148.39,TGT,0.2177142478032701
49154,2022-10-31,0.106881,164.25,TGT,0.3478647643227315
49154,2022-11-30,0.023744,167.07001,TGT,0.3798684652868105
49154,2022-12-30,-0.107919,149.03999,TGT,0.23095444038152313
49154,2023-01-31,0.154992,172.14,TGT,0.42174253100513615
49154,2023-02-28,-0.014872,168.5,TGT,0.4005983760840277
49154,2023-03-31,-0.017033,165.63,TGT,0.37674198394418856
49154,2023-04-28,-0.047576,157.75,TGT,0.31124210731605984
49154,2023-05-31,-0.16317,130.92999,TGT,0.09728673266529819
49154,2023-06-30,0.007409,131.89999,TGT,0.10541653006761531
49154,2023-07-31,0.034648,136.47,TGT,0.14371700200139803
49154,2023-08-31,-0.06463,126.55,TGT,0.06979857216204777
49154,2023-09-29,-0.126274,110.57,TGT,-0.0652891727391427
49154,2023-10-31,0.00199,110.79,TGT,-0.06342909819289366
49154,2023-11-30,0.217709,133.81,TGT,0.14047081626862967
49154,2023-12-29,0.064345,142.42,TGT,0.21385441094143487
49154,2024-01-31,-0.023452,139.08,TGT,0.1853870972960363
49154,2024-02-29,0.10742,152.92,TGT,0.3127213792875767
49154,2024-03-28,0.158841,177.21001,TGT,0.5212353558949947
49154,2024-04-30,-0.091586,160.98,TGT,0.38191149458999574
49154,2024-05-31,-0.023108,156.16,TGT,0.3499782837730101
49154,2024-06-28,-0.051998,148.03999,TGT,0.27978211297338107
49154,2024-07-31,0.016009,150.41,TGT,0.30027014481997183
49154,2024-08-30,0.028788,153.62,TGT,0.33770232174904913
49154,2024-09-30,0.014582,155.86,TGT,0.35720869700479385
49154,2024-10-31,-0.037341,150.03999,TGT,0.30652916704993793
49154,2024-11-29,-0.110704,132.31,TGT,0.16189116214084165
49154,2024-12-31,0.021691,135.17999,TGT,0.18709374333883844
55976,2020-01-31,-0.036604,114.49,WMT,-0.03660399999999997
55976,2020-02-28,-0.059481,107.68,WMT,-0.093907757476
55976,2020-03-31,0.060178,113.62,WMT,-0.039380938505390706
55976,2020-04-30,0.069794,121.55,WMT,0.027664508272563948
55976,2020-05-29,0.025093,124.06,WMT,0.053451693778647336
55976,2020-06-30,-0.034499,119.78,WMT,0.017108663794977774
55976,2020-07-31,0.080314,129.39999,WMT,0.09879672901900771
55976,2020-08-31,0.077203,138.85001,WMT,0.18362713288946209
55976,2020-09-30,0.007634,139.91,WMT,0.19266294242194015
55976,2020-10-30,-0.008291,138.75,WMT,0.1827745739663198
55976,2020-11-30,0.101189,152.78999,WMT,0.3024583503313978
55976,2020-12-31,-0.053014,144.14999,WMT,0.23340982334692906
55976,2021-01-29,-0.02539,140.49001,WMT,0.2020935479321504
55976,2021-02-26,-0.075237,129.92,WMT,0.11165163566637926
55976,2021-03-31,0.049723,135.83,WMT,0.16692628994661862
55976,2021-04-30,0.030038,139.91,WMT,0.20197842184403525
55976,2021-05-28,0.019084,142.03,WMT,0.224916978046507
55976,2021-06-30,-0.007111,141.02,WMT,0.21620659341561832
55976,2021-07-30,0.01085,142.55,WMT,0.2294024349541779
55976,2021-08-31,0.042792,148.10001,WMT,0.28201102395073696
55976,2021-09-30,-0.058879,139.38,WMT,0.2065274968715416
55976,2021-10-29,0.072033,149.42,WMT,0.2934372920536894
55976,2021-11-30,-0.058827,140.63,WMT,0.21734825647404699
55976,2021-12-31,0.032781,144.69,WMT,0.25725414966952265
55976,2022-01-31,-0.033727,139.81,WMT,0.21485073896361873
55976,2022-02-28,-0.033259,135.16,WMT,0.17444601823642758
55976,2022-03-31,0.105948,148.92,WMT,0.2988762249765404
55976,2022-04-29,0.02733,152.99001,WMT,0.33437451220514935
55976,2022-05-31,-0.155566,128.63,WMT,0.126791206839443
55976,2022-06-30,-0.054808,121.58,WMT,0.0650340343749869
55976,2022-07-29,0.086116,132.05,WMT,0.1567505052792233
55976,2022-08-31,0.008027,132.55,WMT,0.1660357415850997
55976,2022-09-30,-0.021501,129.7,WMT,0.14096480710527848
55976,2022-10-31,0.097379,142.33,WMT,0.2520708190563834
55976,2022-11-30,0.070892,152.42,WMT,0.34083262356092847
55976,2022-12-30,-0.066068,141.78999,WMT,0.2522464937875051
55976,2023-01-31,0.01467,143.87,WMT,0.27061694985136775
55976,2023-02-28,-0.012094,142.13,WMT,0.2552501084598653
55976,2023-03-31,0.041441,147.45,WMT,0.30726892820455065
55976,2023-04-28,0.023873,150.97,WMT,0.33847735932757783
55976,2023-05-31,-0.023382,146.87,WMT,0.3071810817117804
55976,2023-06-30,0.070198,157.17999,WMT,0.3989425792857839
55976,2023-07-31,0.017051,159.86,WMT,0.4227959492051858
55976,2023-08-31,0.020768,162.61,WMT,0.4523445754782789
55976,2023-09-29,-0.016481,159.92999,WMT,0.4284084845298215
55976,2023-10-31,0.02176,163.41,WMT,0.4594906531531904
55976,2023-11-30,-0.047243,155.69,WMT,0.39053993622627425
55976,2023-12-29,0.01625,157.64999,WMT,0.4131362101899514
55976,2024-01-31,0.048208,165.25,WMT,0.48126068061078864
55976,2024-02-29,0.064024,58.61,WMT,0.5760969144262138
55976,2024-03-28,0.030157,60.17,WMT,0.623627269074565
55976,2024-04-30,-0.013628,59.35,WMT,0.6015004766516168
55976,2024-05-31,0.1115,65.76,WMT,0.780067779798272
55976,2024-06-28,0.029653,67.71,WMT,0.8328521296726301
55976,2024-07-31,0.013735,68.64,WMT,0.8580263536736839
55976,2024-08-30,0.128169,77.23,WMT,1.096167733397686
55976,2024-09-30,0.045578,80.75,WMT,1.1917068663504855
55976,2024-10-31,0.014861,81.95,WMT,1.2242778220913202
55976,2024-11-29,0.128737,92.5,WMT,1.5106246760738906
55976,2024-12-31,-0.021,90.35,WMT,1.457901557876339
